"photo-13279251_308983465";"http://cs310725.vk.me/v310725826/2d73/-307fo460GU.jpg";"Женская короткая куртка <br/>Цена: 680 грн.<br/>Размеры: S M L XL<br/>Материал: полиэстер; наполнитель синтепон<br/>PW10001<br/>Черный";"Женская короткая куртка ";680;"PW10001";" S M L XL";"Черный";"<h1>Женская короткая куртка </h1><br/><b>Материал:</b> полиэстер; наполнитель синтепон<br/>";""
"photo-13279251_308983468";"http://cs310725.vk.me/v310725826/2d7c/G7XxQZ58J64.jpg";"Женская короткая куртка <br/>Цена: 680 грн.<br/>Размеры: S M L XL<br/>Материал: полиэстер; наполнитель синтепон<br/>PW10001<br/>Черный";"Женская короткая куртка ";680;"PW10001";" S M L XL";"Черный";"<h1>Женская короткая куртка </h1><br/><b>Материал:</b> полиэстер; наполнитель синтепон<br/>";""
"photo-13279251_308983471";"http://cs310725.vk.me/v310725826/2d85/xMGJP9oj_sI.jpg";"Женская короткая куртка <br/>Цена: 680 грн.<br/>Размеры: S M L XL<br/>Материал: полиэстер; наполнитель синтепон<br/>PW10001<br/>Черный";"Женская короткая куртка ";680;"PW10001";" S M L XL";"Черный";"<h1>Женская короткая куртка </h1><br/><b>Материал:</b> полиэстер; наполнитель синтепон<br/>";""
"photo-13279251_308983473";"http://cs310725.vk.me/v310725826/2d8e/qXnZDZrEv-4.jpg";"Женская короткая куртка <br/>Цена: 680 грн.<br/>Размеры: S M L XL<br/>Материал: полиэстер; наполнитель синтепон<br/>PW10001<br/>Черный";"Женская короткая куртка ";680;"PW10001";" S M L XL";"Черный";"<h1>Женская короткая куртка </h1><br/><b>Материал:</b> полиэстер; наполнитель синтепон<br/>";""
"photo-13279251_308983498";"http://cs310725.vk.me/v310725826/2d97/fepWvuzr340.jpg";"Женская короткая куртка <br/>Цена: 680 грн.<br/>Размеры: S M L XL<br/>Материал: полиэстер; наполнитель синтепон<br/>PW10001<br/>Красный";"Женская короткая куртка ";680;"PW10001";" S M L XL";"Красный";"<h1>Женская короткая куртка </h1><br/><b>Материал:</b> полиэстер; наполнитель синтепон<br/>";""
"photo-13279251_308983557";"http://cs310725.vk.me/v310725826/2da0/Vz2S4WdM_H4.jpg";"Женская короткая куртка <br/>Цена: 680 грн.<br/>Размеры: S M L XL<br/>Материал: полиэстер; наполнитель синтепон<br/>PW10001<br/>Красный";"Женская короткая куртка ";680;"PW10001";" S M L XL";"Красный";"<h1>Женская короткая куртка </h1><br/><b>Материал:</b> полиэстер; наполнитель синтепон<br/>";""
"photo-13279251_308983559";"http://cs310725.vk.me/v310725826/2da9/PTTzeIn0-Xc.jpg";"Женская короткая куртка <br/>Цена: 680 грн.<br/>Размеры: S M L XL<br/>Материал: полиэстер; наполнитель синтепон<br/>PW10001<br/>Розовый";"Женская короткая куртка ";680;"PW10001";" S M L XL";"Розовый";"<h1>Женская короткая куртка </h1><br/><b>Материал:</b> полиэстер; наполнитель синтепон<br/>";""
"photo-13279251_308983562";"http://cs310725.vk.me/v310725826/2db2/MXy52v31tKI.jpg";"Женская короткая куртка <br/>Цена: 680 грн.<br/>Размеры: S M L XL<br/>Материал: полиэстер; наполнитель синтепон<br/>PW10001<br/>Розовый";"Женская короткая куртка ";680;"PW10001";" S M L XL";"Розовый";"<h1>Женская короткая куртка </h1><br/><b>Материал:</b> полиэстер; наполнитель синтепон<br/>";""
"photo-13279251_308983565";"http://cs310725.vk.me/v310725826/2dbb/GV0hmRFpcXw.jpg";"Женская короткая куртка <br/>Цена: 680 грн.<br/>Размеры: S M L XL<br/>Материал: полиэстер; наполнитель синтепон<br/>PW10001<br/>Розовый";"Женская короткая куртка ";680;"PW10001";" S M L XL";"Розовый";"<h1>Женская короткая куртка </h1><br/><b>Материал:</b> полиэстер; наполнитель синтепон<br/>";""
"photo-13279251_308983568";"http://cs310725.vk.me/v310725826/2dc4/5Vpajur2tCY.jpg";"Женская короткая куртка <br/>Цена: 680 грн.<br/>Размеры: S M L XL<br/>Материал: полиэстер; наполнитель синтепон<br/>PW10001<br/>Розовый";"Женская короткая куртка ";680;"PW10001";" S M L XL";"Розовый";"<h1>Женская короткая куртка </h1><br/><b>Материал:</b> полиэстер; наполнитель синтепон<br/>";""
"photo-13279251_308983571";"http://cs310725.vk.me/v310725826/2dcd/akDTmKL-MCw.jpg";"Женская короткая куртка <br/>Цена: 680 грн.<br/>Размеры: S M L XL<br/>Материал: полиэстер; наполнитель синтепон<br/>PW10001<br/>Ярко-розовый";"Женская короткая куртка ";680;"PW10001";" S M L XL";"Ярко-розовый";"<h1>Женская короткая куртка </h1><br/><b>Материал:</b> полиэстер; наполнитель синтепон<br/>";""
"photo-13279251_308983574";"http://cs310725.vk.me/v310725826/2dd6/TZ-XxlWDq7U.jpg";"Женская короткая куртка <br/>Цена: 680 грн.<br/>Размеры: S M L XL<br/>Материал: полиэстер; наполнитель синтепон<br/>PW10001<br/>Ярко-розовый";"Женская короткая куртка ";680;"PW10001";" S M L XL";"Ярко-розовый";"<h1>Женская короткая куртка </h1><br/><b>Материал:</b> полиэстер; наполнитель синтепон<br/>";""
